label,total_packets,num_incoming,num_outgoing,fraction_incoming,fraction_outgoing,incoming_mean_size,incoming_std_size,outgoing_mean_size,outgoing_std_size,incoming_iats,incoming_max_iat,incoming_mean_iat,incoming_std_iat,incoming_q3_iat,outgoing_iats,outgoing_max_iat,outgoing_mean_iat,outgoing_std_iat,outgoing_q3_iat,chunk_std,chunk_mean,chunk_median,chunk_max,first_10_incoming,first_10_outgoing,last_10_incoming,last_10_outgoing,packet_1_length_direction,packet_2_length_direction,packet_3_length_direction,packet_4_length_direction,packet_5_length_direction,packet_6_length_direction,packet_7_length_direction,packet_8_length_direction,packet_9_length_direction,packet_10_length_direction,incoming_q1_time,incoming_q2_time,incoming_q3_time,incoming_total_time,outgoing_q1_time,outgoing_q2_time,outgoing_q3_time,outgoing_total_time,max_burst,mean_burst,num_bursts
B,100,9,6,0.09,0.06,115.0,35.185224171518364,83.5,17.5,"[0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0]",10.0,2.5,4.330127018922194,2.5,"[0.0, 10.0, 0.0, 10.0, 0.0]",10.0,4.0,4.898979485566356,10.0,1.4047538337136984,0.6,0.0,5,6,4,0,0,-132,-147,66,101,-66,-132,-147,66,101,-66,1666386873.0,1666386883.0,1666386893.0,20.0,1666386875.5,1666386883.0,1666386890.5,20.0,3,2.25,4
B,100,60,40,0.6,0.4,115.0,35.185224171518364,83.8,17.895809565370325,"[0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0]",10.0,3.2203389830508473,4.672558899013635,10.0,"[0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0]",10.0,4.871794871794871,4.9983560742610065,10.0,1.0954451150103321,4.0,4.0,5,6,4,6,4,-132,-147,66,101,-66,-132,-147,66,101,-66,1666386950.5,1666386998.0,1666387045.5,190.0,1666386950.5,1666386998.0,1666387045.5,190.0,3,2.857142857142857,21
M,100,30,30,0.3,0.3,110.13333333333334,87.38410737784201,96.66666666666667,41.24021769529782,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,1.6733200530681511,2.0,3.0,4,4,6,0,0,66,-66,66,74,-74,66,-81,66,90,-66,1666386946.0,1666386946.0,1666386946.0,0.0,1666386946.0,1666386946.0,1666386946.0,0.0,4,1.5,20
B,100,15,13,0.15,0.13,107.0,63.944767833915336,119.53846153846153,94.46091205004026,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,1.7126976771553504,1.0,0.0,5,6,4,0,0,-66,-74,74,-66,66,-90,-66,66,-93,66,1666386946.0,1666386946.0,1666386946.0,0.0,1666386946.0,1666386946.0,1666386946.0,0.0,3,1.6666666666666667,9
B,100,100,0,1.0,0.0,42.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 11.0, 8.0, -91.0, 0.0, 1.0, 0.0, 12.0, 0.0, 18.0, 0.0, 6.0, 0.0, 4.0, 0.0, 8.0, 0.0, 6.0, 0.0, 10.0, 0.0, 4.0, 0.0, 3.0, 11.0, 8.0, 1.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 11.0, 0.0, 13.0, 0.0, 3.0, 0.0, 8.0, 0.0, 13.0, 0.0, 3.0, 0.0, 4.0, 0.0, 14.0, 0.0, 9.0, 0.0, 1.0, 0.0, 6.0, 0.0, 19.0, 0.0, 0.0, 0.0, 4.0, 0.0, -203.0, 0.0, 12.0, 0.0, 28.0, 0.0, 8.0, 0.0, 20.0, 0.0, 3.0, 11.0, 8.0, 5.0, 0.0, 0.0, 0.0, 27.0, 0.0, 8.0, 0.0, 20.0, 0.0, 14.0, 0.0, 16.0, 0.0, 19.0, 0.0, -128.0]",28.0,0.21212121212121213,27.02571642021191,8.0,[],0.0,0.0,0.0,0.0,1.2472191289246473,6.666666666666667,7.0,7,10,0,10,0,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,1666386951.0,1666386992.0,1666387047.0,204.0,0.0,0.0,0.0,0.0,100,100.0,1
B,100,100,0,1.0,0.0,81.38,74.15008833440457,0.0,0.0,"[1.0, 0.0, -1.0, 1.0, 0.0, 4.0, 0.0, 26.0, 0.0, 2.0, 0.0, 18.0, 0.0, 11.0, 0.0, 3.0, 0.0, 16.0, 0.0, 8.0, 0.0, -89.0, 1.0, 0.0, 4.0, 0.0, 26.0, 0.0, 2.0, 0.0, 29.0, 0.0, 3.0, 0.0, 24.0, 0.0, -89.0, 1.0, 0.0, -1.0, 1.0, 0.0, 22.0, 0.0, 3.0, 0.0, 31.0, 0.0, 12.0, 0.0, 19.0, 0.0, -88.0, 0.0, 1.0, 0.0, 4.0, 0.0, 0.0, 0.0, 26.0, 0.0, 0.0, 0.0, 33.0, 0.0, 0.0, 0.0, -64.0, 1.0, 0.0, -1.0, 1.0, 0.0, 4.0, 0.0, 0.0, 0.0, 46.0, 0.0, 30.0, 0.0, -81.0, 1.0, 0.0, -1.0, 1.0, 0.0, -1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 21.0, 0.0, 3.0, 0.0, 5.0]",46.0,0.31313131313131315,21.34121372664149,3.0,[],0.0,0.0,0.0,0.0,1.2472191289246473,6.666666666666667,7.0,7,10,0,10,0,-42,-221,-221,-42,-221,-221,-42,-42,-42,-42,1667300606.0,1667300628.0,1667300662.0,89.0,0.0,0.0,0.0,0.0,100,100.0,1
B,100,0,11,0.0,0.11,0.0,0.0,201.0,0.0,[],0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,201,201,201,201,201,201,201,201,201,201,0.0,0.0,0.0,0.0,1667300606.0,1667300606.0,1667300606.0,0.0,0,0.0,0
B,100,54,36,0.54,0.36,115.0,35.185224171518364,83.5,17.5,"[0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, -80.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0]",10.0,1.509433962264151,12.192825978417746,10.0,"[0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, -80.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0]",10.0,2.2857142857142856,14.94479637785374,10.0,1.5832456116050557,3.6,4.0,5,6,4,0,0,-132,-147,66,101,-66,-132,-147,66,101,-66,1667300634.0,1667300654.0,1667300674.0,80.0,1667300634.0,1667300654.0,1667300674.0,80.0,3,2.8421052631578947,19
B,100,60,40,0.6,0.4,115.0,35.185224171518364,83.5,17.5,"[0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 11.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0]",11.0,3.23728813559322,4.698860240637688,10.0,"[0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 11.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0]",11.0,4.897435897435898,5.027079856827073,10.0,1.0954451150103321,4.0,4.0,5,6,4,6,4,-132,-147,66,101,-66,-132,-147,66,101,-66,1667300751.5,1667300800.0,1667300847.5,191.0,1667300751.5,1667300800.0,1667300847.5,191.0,3,2.857142857142857,21
B,100,100,0,1.0,0.0,42.28,2.7859648238985355,0.0,0.0,"[121.0, 120.0, -260.0, 0.0, 11.0, 0.0, 6.0, 0.0, 2.0, 16.0, 0.0, 6.0, 0.0, 4.0, 0.0, 2.0, 22.0, 0.0, 3.0, 0.0, 6.0, 0.0, 36.0, 0.0, 11.0, 0.0, 15.0, 19.0, 0.0, 18.0, 0.0, 28.0, 0.0, 22.0, 0.0, 23.0, 0.0, 10.0, 19.0, 0.0, -279.0, 0.0, 17.0, 0.0, 2.0, 16.0, 0.0, 10.0, 0.0, 24.0, 0.0, 3.0, 0.0, 42.0, 0.0, 11.0, 0.0, 15.0, 19.0, 0.0, 18.0, 0.0, 28.0, 0.0, 22.0, 0.0, 23.0, 0.0, 10.0, 19.0, 0.0, -260.0, 121.0, 120.0, -242.0, 0.0, 0.0, 0.0, 1.0, 29.0, 0.0, 19.0, 0.0, 31.0, 0.0, 19.0, 0.0, 23.0, 9.0, 0.0, 6.0, 0.0, 39.0, 0.0, 4.0, 0.0, 34.0, 0.0, 15.0]",121.0,2.303030303030303,59.21412173662196,18.5,[],0.0,0.0,0.0,0.0,1.2472191289246473,6.666666666666667,7.0,7,10,0,10,0,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,1667300750.0,1667300821.5,1667300901.0,279.0,0.0,0.0,0.0,0.0,100,100.0,1
